	session_id	topic_id	query	query_id
0	0	629	 bollywood growth india mumbai industry	0
1	1	1020	 breeds bred designer purebred dog	0
2	2	980	 kenya swahili cooking dishes cook	0
3	3	380	 swahili kenya cooking dish cook	0
4	4	342	 depression unhappy sleep suffering nights	0
5	5	1391	 bull drinks drink red ban	0
6	6	751	 collagen vascular disease diagnosed sport	0
7	7	520	 glassblowing glass edison bulb advances	0
8	8	550	 mitigating guns banning violence constitutional	0
9	9	932	 entrepreneur succeed venture young web	0
10	10	460	 infants developmental milestones age culture	0
11	11	720	 naturalism evidence philosophy argument existence	0
12	12	770	 exploration article space spending argument	0
13	13	1100	 voip providers phones phone internet	0
14	14	780	 trip road vacation enjoyable boring	0
15	15	682	 france french 1998 studies reactions	0
16	16	770	 hydroelectricity hydroelectric turbines turbine kwh	0
17	17	350	 hydropower hydroelectric renewable dams fuels	0
18	18	810	 homicides massacre hobart shooting arthur	0
19	19	410	 kursk sank sinking submarine sea	0
20	20	663	 fitness exercises diets fit achieve	0
21	21	820	 competitions miss lara indian india	0
22	22	873	 lobbying lobbyist merck lobbied pharmaceutical	0
23	23	1000	 kenya dishes swahili traditional information	0
24	24	660	 crisis eurozone europe downturns portugal	0
25	25	743	 pseudocyesis pregnancy pregnant disorder clinical	0
26	26	840	 colleges scholarships university college suny	0
27	27	431	 ira 403 retirement employer contribute	0
28	28	1042	 article information transplants patients pages	0
29	29	740	 essay tax argument argue government	0
30	30	1042	 phd business degree masters education	0
31	31	620	 destinations travel vacation compare research	0
32	32	670	 destinations cities destination travel trip	0
33	33	661	 swahili recipes dishes traditional ingredients	0
34	34	230	 eurozone crisis causes financial effects	0
35	35	480	 eurozone indicators crisis gdp effects	0
36	36	460	 infants milestones developmental korea japan	0
37	37	801	 roof silicone coating cooling material	0
38	38	484	 connecticut firemen academy curriculum graduates	0
39	39	720	 bollywood beverly industries oscars city	0
40	40	590	 massacre arthur victims killer port	0
41	41	651	 evaluation teachers principal students teacher	0
42	42	961	 interview chase applying computational microsoft	0
43	43	1075	 philadelphia trip miles train accessible	0
44	44	891	 pocono pennsylvania mountains winter vacation	0
45	45	740	 internet phone service web determine	0
46	46	940	 pocono mountains articles resorts summary	0
47	47	510	 roof reduce sun temperature conditioning	0
48	48	520	 evaluations evaluate promoted manager employee	0
49	49	809	 minority target employees policy women	0
50	50	800	 uk countries security health safety	0
51	51	620	 submarines kursk submarine sinking sink	0
52	52	469	 connecticut training academy career interests	0
53	53	922	 derby racing churchill schedule breeders	0
54	54	680	 airport dulles cities taxi city	0
55	55	520	 dehumidifier dehumidifiers specifications expensive price	0
56	56	320	 dehumidifier buy value money makes	0
57	57	620	 charities donate africa malaria aids	0
58	58	650	 weddings wedding ceremonies traditions cultures	0
59	59	851	 smoking quitting hypnosis quit benefits	0
